Date,Open,High,Low,Close,Adj Close,Volume
02-09-2021,279170.9688,279758.375,272371.4063,276949.0625,276949.0625,1.78161E+12
03-09-2021,276693.125,293580.7188,271266.8438,287643.7813,287643.7813,1.91303E+12
04-09-2021,287446.375,289748.5313,280148.4375,283790.6875,283790.6875,1.5188E+12
05-09-2021,283681.375,290461,280189.0313,288485,288485,1.34102E+12
06-09-2021,288440.2813,290128.2813,282760.25,287204.7813,287204.7813,1.36531E+12
07-09-2021,287069.375,288401.0938,224899.5625,251465.2969,251465.2969,2.87187E+12
08-09-2021,251610.8906,262706.75,237417.6719,258144.7031,258144.7031,2.34268E+12
09-09-2021,254840.3594,262145.4063,250306.7656,252018.8281,252018.8281,1.77345E+12
10-09-2021,251888.2969,258442.6875,232126.2344,236129.5,236129.5,1.64375E+12
11-09-2021,235947.5,246057.0313,235942.4531,240450.7969,240450.7969,1.36958E+12
12-09-2021,240451.7969,254581.7813,237864.9844,250728.6094,250728.6094,1.23598E+12
13-09-2021,250532.8438,251932.0469,229732.5156,241622.9375,241622.9375,1.67099E+12
14-09-2021,241682.1094,252537.4219,240749.2031,252537.4219,252537.4219,1.40847E+12
15-09-2021,252688.2188,265651.5,247975.2344,265651.5,265651.5,1.28947E+12
16-09-2021,265489.1875,269891,256776.25,262722.8438,262722.8438,1.47821E+12
17-09-2021,262595.8125,263998.7813,247369.5313,250468.0625,250468.0625,1.30612E+12
18-09-2021,250385.8125,260953.0938,248504.25,252935.4531,252935.4531,1.17883E+12
19-09-2021,253029.0313,254137.0313,242180.75,245368.1406,245368.1406,1.05073E+12
20-09-2021,245384.5625,246391.2188,216736.6563,217957.2656,217957.2656,2.01618E+12
21-09-2021,219306.4688,228497.5781,197510.5781,204002.1563,204002.1563,2.24375E+12
22-09-2021,203911.9844,227752.5156,202226.3594,227377.9375,227377.9375,1.75395E+12
23-09-2021,227385.7969,234382.3125,224437.8125,233004.375,233004.375,1.36725E+12
24-09-2021,232933.3594,233308.6094,202705.4375,216395.5938,216395.5938,1.88928E+12
25-09-2021,216337.7031,219150.6875,208076.9375,215945.0625,215945.0625,1.39749E+12
26-09-2021,216002.4531,230353.9531,202586.1719,226035.4219,226035.4219,1.56283E+12
27-09-2021,226299.125,233236.4531,216507.6719,216614.4219,216614.4219,1.4148E+12
28-09-2021,216232.3281,219244.3438,207165.5156,208199.0781,208199.0781,1.253E+12
29-09-2021,208347.4688,218441.6094,207229.3281,212052.9063,212052.9063,1.17158E+12
30-09-2021,212009.4688,226146.0313,211097.5781,222888.625,222888.625,1.31142E+12
01-10-2021,222847.8125,246909.4688,221303.5938,245259.7656,245259.7656,1.65416E+12
02-10-2021,245360.1875,256925.4844,241738.375,251501.7656,251501.7656,1.42392E+12
03-10-2021,251433.0313,258391.3594,248270.6406,253479.375,253479.375,1.15059E+12
04-10-2021,253510.3281,256044.1406,244305.1563,252063.5156,252063.5156,1.32346E+12
05-10-2021,252189.9375,264061.0938,250835.8906,262352.9063,262352.9063,1.24018E+12
06-10-2021,262207.625,271127.625,251238.0313,267710.25,267710.25,1.63406E+12
07-10-2021,267430.0625,273135.25,260184.2969,268489.375,268489.375,1.42854E+12
08-10-2021,268478.75,274999.625,266759.5938,268372.4375,268372.4375,1.22162E+12
09-10-2021,268089.1875,272594.875,266932.6875,268648.9375,268648.9375,9.54699E+11
10-10-2021,268596.625,270717.1563,257167.9844,257987.4531,257987.4531,1.21783E+12
11-10-2021,257526.125,272810.9375,254968.7031,267329.8438,267329.8438,1.40092E+12
12-10-2021,267414.5625,267414.5625,257318.9063,263633.9063,263633.9063,1.36699E+12
13-10-2021,263647.5313,271686.5938,257703.1094,271570.625,271570.625,1.22082E+12
14-10-2021,271477.0313,286432.1563,270371.25,283933.0938,283933.0938,1.45817E+12
15-10-2021,284243.5938,292272.7813,280144.0625,289459.0938,289459.0938,1.57122E+12
16-10-2021,289686.2813,296939.3125,285206.4375,287042.125,287042.125,1.24233E+12
17-10-2021,287002.9063,293375.625,274328.2188,288556.5,288556.5,1.1932E+12
18-10-2021,288603.4063,291641.5,277852.3125,282040.7813,282040.7813,1.30806E+12
19-10-2021,281920.5938,291761.6875,281148.7813,291290.4688,291290.4688,1.20183E+12
20-10-2021,291296.4688,311765.9063,287844.6563,310899.1563,310899.1563,1.52146E+12
21-10-2021,311327.1563,326806.0938,301802.375,303533.9688,303533.9688,2.11279E+12
22-10-2021,303636.0625,311505.0625,292925.5938,297739.2188,297739.2188,1.45735E+12
23-10-2021,297827.3125,312872.625,295823.125,312872.625,312872.625,1.10861E+12
24-10-2021,312887.0938,313927.5625,297499.7188,306568.0313,306568.0313,1.12327E+12
25-10-2021,306307.25,317880.6875,305378.3125,316721.8438,316721.8438,1.20112E+12
26-10-2021,316681.375,321577.8438,307556.9063,309375.125,309375.125,1.28493E+12
27-10-2021,309455.375,322120.5,294918.4375,294918.4375,294918.4375,1.96746E+12
28-10-2021,294510.125,321151.5,293232.4063,320680.9063,320680.9063,1.94161E+12
29-10-2021,320783.2188,334064.5,319464.1563,330790.5625,330790.5625,1.72093E+12
